plant_name
California geranium
California gilia
California golden violet
California goldenbush
California goldfields
California harebell
California hedgehog
California hedgenettle
California hesperochiron
California honeysuckle
California hoptree
California juniper
California live oak
California lucerne
California maidenhair fern
California manroot
California manyseed
California melic
California milkweed
California mistmaiden
California mormon tea
California mountain ash
California mountain pine
California muhly
California oat grass
California orcutt grass
California peony
California peppertree
California phacelia
California plumeseed
California polypody
California privet
California ragwort
California red fir
California redwood
California rockflower
California rockjasmine
California rose
California rose bay
California sagebrush
California satintail
California saxifrage
California shieldpod
California snakeroot
California spicebush
California spineflower
California stickseed
California stoneseed
California strawflower
California sunflower
California sweetcicely
California sycamore
California thistle
California threeawn
California torreya
California valerian
California veratrum
California vervain
California walnut
California wild buckwheat
California wild grape
California yampah
Calingale
Calistoga pincushionplant
Callery pear
Callingcard vine
Calliopsis
Calopo
Calthaleaf phacelia
Caltrop
Calvary medic
Calycine hawthorn
Calycose mille graines
Camasey cuatrocanales
Camasey de costilla
Camasey felpa
Camash
Camden woollybutt
Camelbush
Camellia
Camelthorn
Campanilla
Campestre palm
Camphor daisy
Camphor inula
Camphor pluchea
Camphor thyme
Camphorfume
Camphortree
Camphorwood
Campion
Camptotheca
Camwood
Cana de india
Canada balsam
Canada blueberry
Canada bluegrass
Canada bluejoint
Canada lettuce
Canada lily
Canada onion
Canada sanicle
Canada snakeroot
Canada violet
Canada wild rye
Canadian elder
Canadian goldenrod
Canadian hawthorn
Canary bellflower
Canary broom
Canary creeper
Canary island broom
Canary island date palm
Canary island flatpod
Canary island geranium
Canary island marguerite
Canary island pine
Canary island sorrel
Canary island spurge
Canary island tamarisk
Canary islands juniper
Canary pea
Canary spurge
Candelabra aloe
Candelabra flower
Candelabra spurge
Candelabra tree
Candelabra wattle
Candelabrum cactus
Candelilla
Candle anemone
Candle wood
Candlebark
Candleholder liveforever
Candlestick lily
Candletree
Candlewood
Candy corn plant
Candytuft
Cane bluestem
Cane cactus
Canella
Canistel
Canna
Cannaleaf myrosma
Cannon ball tree
Canoe birch
Canscora
Canyon dodder
Canyon gooseberry
Canyon grape
Canyon live oak
Canyon silktassel
Canyon sunflower
Canyonlands lomatium
Capa de obispo
Cape cordgrass
Cape flats conebush
Cape gardenia
Cape gold everlasting
Cape hibiscus
Cape holly
Cape jasmine
Cape jitta
Cape periwinkle
Cape pittosporum
Cape province pygmyweed
Cape rain daisy
Cape saffron
Cape scabious
Cape silvertree
Cape speckled aloe
Cape sundew
Cape thatch
Caper
Caper spurge
Capitate galingale
Capote
Cappadocian maple
Capulin
Caracas pepper
Caracas rattlebox
Caracus wigandia
Carambola
Carana palm
Caranday palm
Carapa
Caraway
Caraway thyme
Carawayleaf gilia
Cardamom
Cardboard palm
Carelessweed
Carib grass
Caribbean caltrop
Caribbean canna
Caribbean clearweed
Caribbean holly
Caribbean milkweed
Caribbean princewood
Caribbean royal palm
Caribbean sedge
Caribbean tonguefern
Carinthian buttercup
Carline thistle
Carmel ceanothus
Carmine catchfly
Carnauba palm
Carniolan spurge
Caro de tres hojas
Carob
Carolina anemone
Carolina azalea
